GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
1000000US121170201011000,121170201011000,"Block 1000, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011001,121170201011001,"Block 1001, Block Group 1, Census Tract 201.01, Seminole County, Florida",8,1,5,2,0,0,0,0
1000000US121170201011002,121170201011002,"Block 1002, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011003,121170201011003,"Block 1003, Block Group 1, Census Tract 201.01, Seminole County, Florida",62,41,19,1,1,0,0,0
1000000US121170201011004,121170201011004,"Block 1004, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011005,121170201011005,"Block 1005, Block Group 1, Census Tract 201.01, Seminole County, Florida",14,10,4,0,0,0,0,0
1000000US121170201011006,121170201011006,"Block 1006, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011007,121170201011007,"Block 1007, Block Group 1, Census Tract 201.01, Seminole County, Florida",148,144,4,0,0,0,0,0
1000000US121170201011008,121170201011008,"Block 1008, Block Group 1, Census Tract 201.01, Seminole County, Florida",4,2,0,0,2,0,0,0
1000000US121170201011009,121170201011009,"Block 1009, Block Group 1, Census Tract 201.01, Seminole County, Florida",40,25,15,0,0,0,0,0
1000000US121170201011010,121170201011010,"Block 1010, Block Group 1, Census Tract 201.01, Seminole County, Florida",68,57,9,2,0,0,0,0
1000000US121170201011011,121170201011011,"Block 1011, Block Group 1, Census Tract 201.01, Seminole County, Florida",6,3,2,0,0,1,0,0
1000000US121170201011012,121170201011012,"Block 1012, Block Group 1, Census Tract 201.01, Seminole County, Florida",1,0,0,1,0,0,0,0
1000000US121170201011013,121170201011013,"Block 1013, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011014,121170201011014,"Block 1014, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011015,121170201011015,"Block 1015, Block Group 1, Census Tract 201.01, Seminole County, Florida",4,3,1,0,0,0,0,0
1000000US121170201011016,121170201011016,"Block 1016, Block Group 1, Census Tract 201.01, Seminole County, Florida",0,0,0,0,0,0,0,0
1000000US121170201011017,121170201011017,"Block 1017, Block Group 1, Census Tract 201.01, Seminole County, Florida",6,1,1,0,1,1,2,0
1000000US121170201011018,121170201011018,"Block 1018, Block Group 1, Census Tract 201.01, Seminole County, Florida",7,1,2,2,1,1,0,0
1000000US121170201011019,121170201011019,"Block 1019, Block Group 1, Census Tract 201.01, Seminole County, Florida",7,2,1,1,2,1,0,0
1000000US121170201011020,121170201011020,"Block 1020, Block Group 1, Census Tract 201.01, Seminole County, Florida",7,0,4,1,0,2,0,0
1000000US121170201011021,121170201011021,"Block 1021, Block Group 1, Census Tract 201.01, Seminole County, Florida",2,0,1,0,1,0,0,0
1000000US121170201011022,121170201011022,"Block 1022, Block Group 1, Census Tract 201.01, Seminole County, Florida",9,3,3,3,0,0,0,0
1000000US121170201011023,121170201011023,"Block 1023, Block Group 1, Census Tract 201.01, Seminole County, Florida",10,9,1,0,0,0,0,0
1000000US121170201011024,121170201011024,"Block 1024, Block Group 1, Census Tract 201.01, Seminole County, Florida",3,1,0,0,1,0,1,0
1000000US121170201011025,121170201011025,"Block 1025, Block Group 1, Census Tract 201.01, Seminole County, Florida",3,1,2,0,0,0,0,0
1000000US121170201011026,121170201011026,"Block 1026, Block Group 1, Census Tract 201.01, Seminole County, Florida",2,1,0,0,0,1,0,0
