GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Average family size -- - Total:,Average family size -- - Total: - Under 18 years,Average family size -- - Total: - 18 years and over
1000000US120850001001000,120850001001000,"Block 1000, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001001001,120850001001001,"Block 1001, Block Group 1, Census Tract 1, Martin County, Florida",2.00,0.13,1.88
1000000US120850001001002,120850001001002,"Block 1002, Block Group 1, Census Tract 1, Martin County, Florida",2.67,0.67,2.00
1000000US120850001001003,120850001001003,"Block 1003, Block Group 1, Census Tract 1, Martin County, Florida",2.23,0.08,2.15
1000000US120850001001004,120850001001004,"Block 1004, Block Group 1, Census Tract 1, Martin County, Florida",2.06,0.09,1.97
1000000US120850001001005,120850001001005,"Block 1005, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001001006,120850001001006,"Block 1006, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001001007,120850001001007,"Block 1007, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001001008,120850001001008,"Block 1008, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001001009,120850001001009,"Block 1009, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001001010,120850001001010,"Block 1010, Block Group 1, Census Tract 1, Martin County, Florida",2.08,0.06,2.02
1000000US120850001001011,120850001001011,"Block 1011, Block Group 1, Census Tract 1, Martin County, Florida",2.25,0.00,2.25
1000000US120850001001012,120850001001012,"Block 1012, Block Group 1, Census Tract 1, Martin County, Florida",2.33,0.00,2.33
1000000US120850001001013,120850001001013,"Block 1013, Block Group 1, Census Tract 1, Martin County, Florida",2.17,0.17,2.00
1000000US120850001001014,120850001001014,"Block 1014, Block Group 1, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002000,120850001002000,"Block 2000, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002001,120850001002001,"Block 2001, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002002,120850001002002,"Block 2002, Block Group 2, Census Tract 1, Martin County, Florida",2.11,0.08,2.03
1000000US120850001002003,120850001002003,"Block 2003, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002004,120850001002004,"Block 2004, Block Group 2, Census Tract 1, Martin County, Florida",4.00,2.00,2.00
1000000US120850001002005,120850001002005,"Block 2005, Block Group 2, Census Tract 1, Martin County, Florida",2.06,0.06,2.00
1000000US120850001002006,120850001002006,"Block 2006, Block Group 2, Census Tract 1, Martin County, Florida",2.00,0.00,2.00
1000000US120850001002007,120850001002007,"Block 2007, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002008,120850001002008,"Block 2008, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002009,120850001002009,"Block 2009, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002010,120850001002010,"Block 2010, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002011,120850001002011,"Block 2011, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002012,120850001002012,"Block 2012, Block Group 2, Census Tract 1, Martin County, Florida",2.00,0.00,2.00
1000000US120850001002013,120850001002013,"Block 2013, Block Group 2, Census Tract 1, Martin County, Florida",2.05,0.02,2.03
1000000US120850001002014,120850001002014,"Block 2014, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002015,120850001002015,"Block 2015, Block Group 2, Census Tract 1, Martin County, Florida",2.00,0.00,2.00
1000000US120850001002016,120850001002016,"Block 2016, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002017,120850001002017,"Block 2017, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002018,120850001002018,"Block 2018, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002019,120850001002019,"Block 2019, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002020,120850001002020,"Block 2020, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002021,120850001002021,"Block 2021, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002022,120850001002022,"Block 2022, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002023,120850001002023,"Block 2023, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002024,120850001002024,"Block 2024, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001002025,120850001002025,"Block 2025, Block Group 2, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003000,120850001003000,"Block 3000, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003001,120850001003001,"Block 3001, Block Group 3, Census Tract 1, Martin County, Florida",2.04,0.06,1.98
1000000US120850001003002,120850001003002,"Block 3002, Block Group 3, Census Tract 1, Martin County, Florida",2.21,0.16,2.05
1000000US120850001003003,120850001003003,"Block 3003, Block Group 3, Census Tract 1, Martin County, Florida",2.00,0.13,1.88
1000000US120850001003004,120850001003004,"Block 3004, Block Group 3, Census Tract 1, Martin County, Florida",2.71,0.71,2.00
1000000US120850001003005,120850001003005,"Block 3005, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003006,120850001003006,"Block 3006, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003007,120850001003007,"Block 3007, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003008,120850001003008,"Block 3008, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003009,120850001003009,"Block 3009, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850001003010,120850001003010,"Block 3010, Block Group 3, Census Tract 1, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001000,120850002001000,"Block 1000, Block Group 1, Census Tract 2, Martin County, Florida",2.73,0.49,2.24
1000000US120850002001001,120850002001001,"Block 1001, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001002,120850002001002,"Block 1002, Block Group 1, Census Tract 2, Martin County, Florida",2.37,0.30,2.07
1000000US120850002001003,120850002001003,"Block 1003, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001004,120850002001004,"Block 1004, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001005,120850002001005,"Block 1005, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001006,120850002001006,"Block 1006, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001007,120850002001007,"Block 1007, Block Group 1, Census Tract 2, Martin County, Florida",2.09,0.02,2.08
1000000US120850002001008,120850002001008,"Block 1008, Block Group 1, Census Tract 2, Martin County, Florida",2.33,0.33,2.00
1000000US120850002001009,120850002001009,"Block 1009, Block Group 1, Census Tract 2, Martin County, Florida",2.50,0.50,2.00
1000000US120850002001010,120850002001010,"Block 1010, Block Group 1, Census Tract 2, Martin County, Florida",2.52,0.61,1.91
1000000US120850002001011,120850002001011,"Block 1011, Block Group 1, Census Tract 2, Martin County, Florida",2.11,0.07,2.04
1000000US120850002001012,120850002001012,"Block 1012, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001013,120850002001013,"Block 1013, Block Group 1, Census Tract 2, Martin County, Florida",2.53,0.63,1.89
1000000US120850002001014,120850002001014,"Block 1014, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001015,120850002001015,"Block 1015, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002001016,120850002001016,"Block 1016, Block Group 1, Census Tract 2, Martin County, Florida",2.12,0.10,2.02
1000000US120850002001017,120850002001017,"Block 1017, Block Group 1, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002002000,120850002002000,"Block 2000, Block Group 2, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002002001,120850002002001,"Block 2001, Block Group 2, Census Tract 2, Martin County, Florida",0.00,0.00,0.00
1000000US120850002002002,120850002002002,"Block 2002, Block Group 2, Census Tract 2, Martin County, Florida",2.00,0.00,2.00
1000000US120850002002003,120850002002003,"Block 2003, Block Group 2, Census Tract 2, Martin County, Florida",2.37,0.21,2.16
1000000US120850002002004,120850002002004,"Block 2004, Block Group 2, Census Tract 2, Martin County, Florida",2.17,0.00,2.17
1000000US120850002002005,120850002002005,"Block 2005, Block Group 2, Census Tract 2, Martin County, Florida",2.66,0.43,2.24
