GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Average family size -- - Total:,Average family size -- - Total: - Under 18 years,Average family size -- - Total: - 18 years and over
1000000US121090202001000,121090202001000,"Block 1000, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001001,121090202001001,"Block 1001, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001002,121090202001002,"Block 1002, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001003,121090202001003,"Block 1003, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001004,121090202001004,"Block 1004, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001005,121090202001005,"Block 1005, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001006,121090202001006,"Block 1006, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001007,121090202001007,"Block 1007, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001008,121090202001008,"Block 1008, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001009,121090202001009,"Block 1009, Block Group 1, Census Tract 202, St. Johns County, Florida",3.00,1.00,2.00
1000000US121090202001010,121090202001010,"Block 1010, Block Group 1, Census Tract 202, St. Johns County, Florida",2.33,0.33,2.00
1000000US121090202001011,121090202001011,"Block 1011, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001012,121090202001012,"Block 1012, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001013,121090202001013,"Block 1013, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001014,121090202001014,"Block 1014, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001015,121090202001015,"Block 1015, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001016,121090202001016,"Block 1016, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001017,121090202001017,"Block 1017, Block Group 1, Census Tract 202, St. Johns County, Florida",2.00,0.00,2.00
1000000US121090202001018,121090202001018,"Block 1018, Block Group 1, Census Tract 202, St. Johns County, Florida",2.00,0.00,2.00
1000000US121090202001019,121090202001019,"Block 1019, Block Group 1, Census Tract 202, St. Johns County, Florida",0.00,0.00,0.00
1000000US121090202001020,121090202001020,"Block 1020, Block Group 1, Census Tract 202, St. Johns County, Florida",2.50,0.50,2.00
